RunSampleID	N_demux	N_GeneHit	N_KO_avail	N_Klebsiella	N_Others	N_taxaNA	N_KO_avail_Klebsiella	N_KO_avail_Others	N_KO_avail_taxaNA
USDA_RUN12_D12.BAF	11619799	3227414	2063224	455919	642988	2128507	335762	445853	1281609
USDA_RUN12_D13.BAF	11660175	3286867	2158529	801819	652112	1832936	592636	450927	1114966
USDA_RUN12_D14.BAF	10441139	3940189	2644173	1538285	730143	1671761	1138824	504918	1000431
USDA_RUN12_D25.BAF	8635146	5217940	3742637	4204396	443182	570362	3138287	285126	319224
USDA_RUN12_D27.BAF	9679037	5840159	4188877	4721167	488769	630223	3523461	313061	352355
USDA_RUN12_D28.BAF	8677862	5234306	3727330	4150573	455419	628314	3085999	291976	349355
USDA_RUN22_D12.BAF	29856924	7402276	4488794	393059	1841549	5167668	169671	1383513	2935610
USDA_RUN22_D13.BAF	30182774	8000536	4830753	1635609	2434605	3930322	1055318	1646759	2128676
USDA_RUN22_D14.BMF	33034334	11321082	7271823	2042163	3676206	5602713	1545095	2818761	2907967
USDA_RUN22_D25.BAF	25950552	6887160	4055104	3789422	1469880	1627858	2329165	789491	936448
USDA_RUN22_D27.BAF	26040156	6715962	3965754	1902202	1369590	3444170	1095487	866320	2003947
USDA_RUN22_D28.BAF	30375471	9208802	5756164	3019852	2011537	4177413	2096654	1215222	2444288
