RunSampleID	Ortholog	n	N_demux	OrthologRelativeAbundance
USDA_RUN12_D12.BAF	K00076	5	11619799	4.303000421952221e-7
USDA_RUN12_D12.BAF	K01442	469	11619799	4.036214395791184e-5
USDA_RUN12_D12.BAF	K15873	3	11619799	2.581800253171333e-7
USDA_RUN12_D12.BAF	K22607	633	11619799	5.4475985341915126e-5
USDA_RUN12_D13.BAF	K00076	9	11660175	7.718580553036296e-7
USDA_RUN12_D13.BAF	K01442	413	11660175	3.541970853782212e-5
USDA_RUN12_D13.BAF	K15873	2	11660175	1.7152401228969547e-7
USDA_RUN12_D13.BAF	K22605	1	11660175	8.576200614484774e-8
USDA_RUN12_D13.BAF	K22607	633	11660175	5.428734988968862e-5
USDA_RUN12_D14.BAF	K00076	10	10441139	9.577499159813885e-7
USDA_RUN12_D14.BAF	K01442	390	10441139	3.735224672327415e-5
USDA_RUN12_D14.BAF	K22605	1	10441139	9.577499159813886e-8
USDA_RUN12_D14.BAF	K22607	298	10441139	2.854094749624538e-5
USDA_RUN12_D25.BAF	K00076	3	8635146	3.4741740324946446e-7
USDA_RUN12_D25.BAF	K01442	142	8635146	1.6444423753807984e-5
USDA_RUN12_D25.BAF	K15873	1	8635146	1.1580580108315482e-7
USDA_RUN12_D25.BAF	K22605	1	8635146	1.1580580108315482e-7
USDA_RUN12_D25.BAF	K22607	8	8635146	9.264464086652385e-7
USDA_RUN12_D27.BAF	K00076	8	9679037	8.265285069165456e-7
USDA_RUN12_D27.BAF	K01442	144	9679037	1.4877513124497819e-5
USDA_RUN12_D27.BAF	K22607	5	9679037	5.16580316822841e-7
USDA_RUN12_D28.BAF	K00076	6	8677862	6.914145442736932e-7
USDA_RUN12_D28.BAF	K01442	176	8677862	2.0281493298695e-5
USDA_RUN12_D28.BAF	K22605	1	8677862	1.1523575737894887e-7
USDA_RUN12_D28.BAF	K22607	12	8677862	1.3828290885473863e-6
USDA_RUN22_D12.BAF	K00076	3	29856924	1.0047920542652016e-7
USDA_RUN22_D12.BAF	K01442	491	29856924	1.6445096621473798e-5
USDA_RUN22_D12.BAF	K22605	47	29856924	1.5741742183488158e-6
USDA_RUN22_D12.BAF	K22607	16	29856924	5.358890956081075e-7
USDA_RUN22_D13.BAF	K00076	9	30182774	2.9818332801352186e-7
USDA_RUN22_D13.BAF	K01442	719	30182774	2.382153476019136e-5
USDA_RUN22_D13.BAF	K22605	43	30182774	1.4246536782868267e-6
USDA_RUN22_D13.BAF	K22607	25	30182774	8.28287022259783e-7
USDA_RUN22_D14.BMF	K00076	7	33034334	2.1190074544865958e-7
USDA_RUN22_D14.BMF	K01442	2111	33034334	6.39032105203029e-5
USDA_RUN22_D14.BMF	K22605	29	33034334	8.778745168587325e-7
USDA_RUN22_D14.BMF	K22607	20	33034334	6.054307012818845e-7
USDA_RUN22_D25.BAF	K00076	5	25950552	1.9267412885860772e-7
USDA_RUN22_D25.BAF	K01442	375	25950552	1.4450559664395577e-5
USDA_RUN22_D25.BAF	K22605	15	25950552	5.780223865758232e-7
USDA_RUN22_D25.BAF	K22607	32	25950552	1.2331144246950893e-6
USDA_RUN22_D27.BAF	K00076	6	26040156	2.3041336618720716e-7
USDA_RUN22_D27.BAF	K01442	374	26040156	1.436243315900258e-5
USDA_RUN22_D27.BAF	K22605	7	26040156	2.6881559388507505e-7
USDA_RUN22_D27.BAF	K22607	23	26040156	8.832512370509608e-7
USDA_RUN22_D28.BAF	K00076	4	30375471	1.3168520086486888e-7
USDA_RUN22_D28.BAF	K01442	1374	30375471	4.5233866497082465e-5
USDA_RUN22_D28.BAF	K15868	1	30375471	3.292130021621722e-8
USDA_RUN22_D28.BAF	K22605	11	30375471	3.6213430237838943e-7
USDA_RUN22_D28.BAF	K22607	31	30375471	1.020560306702734e-6
